Name,Value.gain,Value.bw,Value.constraint_gain_constraint,Value.constraint_pm_constraint,Value.LM1,Value.LM2,Value.LM3,Value.WM1,Value.WM2,Value.WM3,Value.Rb,Value.Vb
95,-0.550113636363636,-0.1767612,-30.25625,-20.5554448965116,3.54723121989338E-07,7.5696251811738E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.62266229467584
96,-0.551748363636364,-0.17451756,-30.34616,-20.214959959993,3.47784003158223E-07,8.90535663637687E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.62266229467584
97,-0.754934727272727,-0.02356214,-41.52141,-16.1252794558041,8.43470328200899E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,9.78287698266748E-07,8806.83085869686,0.797403457512887
98,-0.615215272727273,-0.1113453,-33.83684,-12.830442566709,4.10788028988886E-07,1.24315597713996E-06,1.03659560900139E-06,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.688724193364027
99,-0.489749454545455,-0.2562976,-26.93622,-24.2880149228442,2.7191150176099E-07,1.85907401178059E-07,5.10607102079887E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.644643597335363
100,-0.470036181818182,-0.2890658,-25.85199,-28.4319313946136,2.7191150176099E-07,1.41059788264506E-07,3.77505334809183E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.62266229467584
101,-0.484779454545455,-0.2645648,-26.66287,-26.342536005673,2.7191150176099E-07,1.85907401178059E-07,4.41112705792049E-07,9.74705278155888E-05,9.63778304489418E-05,1.07899110625032E-05,105.066228461579,0.644643597335363
102,-0.607697090909091,-0.11804268,-33.42334,-11.923399929649,4.10474652126431E-07,1.24315597713996E-06,1.15606267343377E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.655797904321387
103,-0.701316,-0.04906506,-38.57238,-21.3702249706225,6.69874834687596E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,3.701453096112E-06,3981.35236113993,0.730793877415552
104,-0.543262363636364,-0.18449798,-29.87943,-20.9432389581609,3.47784003158223E-07,5.40162883960507E-07,6.85254716091663E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.634215684208656
105,-0.570601090909091,-0.15418636,-31.38306,-17.0700836059092,3.62042038620901E-07,8.75955073783396E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.644643597335363
106,-0.657958181818182,-0.07913932,-36.1877,-21.598452723971,5.14810414892528E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.98678858036551E-06,2157.48173067053,0.656264841462184
107,-0.668372,-0.07160116,-36.76046,-19.5591463321243,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,8.69696521443843E-05,4.22073926610503E-06,2157.48173067053,0.708799225186819
108,-0.664421454545455,-0.07465696,-36.54318,-20.5425688809525,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2157.48173067053,0.700500761097799
109,-0.655374545454545,-0.08123962,-36.0456,-11.581154635856,5.14810414892528E-07,1.24315597713996E-06,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,293.028474806668,0.708799225186819
110,-0.610802545454545,-0.11515198,-33.59414,-13.716232311738,4.10788028988886E-07,1.15825445267076E-06,9.8921269284444E-07,9.74705278155888E-05,9.63778304489418E-05,6.04791963619607E-06,105.066228461579,0.686351356962512
111,-0.570262,-0.1545927,-31.36441,-17.0189023250011,3.62042038620901E-07,8.96548958772868E-07,8.47466738876054E-07,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.641304387432982
112,-0.607898545454545,-0.1178713,-33.43442,-11.9254910069342,4.10788028988886E-07,1.24315597713996E-06,1.15606267343377E-06,9.74705278155888E-05,9.63778304489418E-05,9.59591198082565E-06,105.066228461579,0.656264841462184
113,-0.492977818181818,-0.2513882,-27.11378,-24.9822639155925,2.7191150176099E-07,2.63446442308953E-07,4.93629678416968E-07,9.74705278155888E-05,9.63778304489418E-05,1.02087069393529E-05,105.066228461579,0.641304387432982
114,-0.750634727272727,-0.02471064,-41.28491,-15.1891237595585,8.43470328200899E-07,1.85907401178059E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,9.78287698266748E-07,7422.15330928878,0.797403457512887
115,-0.386089272727273,-0.4475566,-21.23491,-36.0936037674766,2.09770414816309E-07,1.93924054134383E-07,2.78512237527546E-07,9.74705278155888E-05,9.55120924159402E-05,2.64663926514114E-05,105.066228461579,0.445043660592035
116,-0.669222363636364,-0.07106152,-36.80723,-21.7562620705145,5.14810414892528E-07,1.93924054134383E-07,1.2826978415949E-06,9.74705278155888E-05,9.63778304489418E-05,5.55431707169376E-06,2715.31505579516,0.678795970863178
